observation_date,CPI_all_items_France_monthly
1955-02-01,-0.206469373709593007
1955-03-01,-0.068965517241388205
1955-04-01,-0.069013112491382297
1955-05-01,0.552486187845318999
1955-06-01,-0.618131868131872930
1955-07-01,-1.105736005528670018
1955-08-01,-0.069881201956663697
1955-09-01,1.048951048951050069
1955-10-01,1.038062283737009928
1955-11-01,0.068493150684940399
1955-12-01,0.136892539356604004
1956-01-01,0.341763499658224890
1956-02-01,0.749318801089940978
1956-03-01,0.135226504394860003
1956-04-01,-0.405131667792048011
1956-05-01,0.677966101694947976
1956-06-01,-0.942760942760954013
1956-07-01,-0.271923861318846993
1956-08-01,0.272665303340166976
1956-09-01,0.815771583956467983
1956-10-01,-0.202292650033722987
1956-11-01,0.135135135135134005
1956-12-01,-0.067476383265828999
1957-01-01,0.270087778528038003
1957-02-01,0.198412698412678001
1957-03-01,-0.594059405940587038
1957-04-01,-0.099601593625515100
1957-05-01,-0.199401794616148986
1957-06-01,0.599400599400609968
1957-07-01,1.489572989076449971
1957-08-01,1.174168297455989940
1957-09-01,1.257253384912939920
1957-10-01,1.528175740210139688
1957-11-01,2.351834430856070135
1957-12-01,2.113970588235300152
1958-01-01,3.420342034203410098
1958-02-01,1.131418624891199931
1958-03-01,1.290877796901890084
1958-04-01,0.849617672047584094
1958-05-01,0.168491996630174001
1958-06-01,0.420521446593770998
1958-07-01,0.335008375209375986
1958-08-01,0.250417362270463018
1958-09-01,0.416319733555365001
1958-10-01,0.331674958540611020
1958-11-01,-0.247933884297501905
1958-12-01,0.248550124275043888
1959-01-01,2.479338842975220114
1959-02-01,1.370967741935479989
1959-03-01,-0.238663484486884903
1959-04-01,0.000000000000000000
1959-05-01,-0.637958532695367064
1959-06-01,0.240770465489563990
1959-07-01,0.320256204963951907
1959-08-01,0.478850758180376090
1959-09-01,0.476568705321706976
1959-10-01,0.869565217391307987
1959-11-01,0.626959247648894991
1959-12-01,0.000000000000000000
1960-01-01,1.323987538940810005
1960-02-01,0.230591852421226012
1960-03-01,0.000000000000000000
1960-04-01,0.153374233128817899
1960-05-01,-0.229709035222063013
